Name,Platform,Genre,Publisher,Year_of_Release
Mario Super Sluggers,Wii,Sports,Nintendo,2008
Donkey Kong Country Returns,3DS,Platform,Nintendo,2013
Monopoly,Wii,Misc,Electronic Arts,2008
Madden NFL 09,PS3,Sports,Electronic Arts,2008
Batman: Arkham Origins,X360,Action,Warner Bros. Interactive Entertainment,2013
Game Party 2,Wii,Misc,Midway Games,2008
Yu-Gi-Oh! Forbidden Memories,PS,Role-Playing,Konami Digital Entertainment,1999
Mortal Kombat: Deception,PS2,Fighting,Midway Games,2004
Hot Shots Golf 2,PS,Sports,Sony Computer Entertainment,1999
Medal of Honor: European Assault (All Region sales),PS2,Shooter,Electronic Arts,2005
NBA 2K17,PS4,Sports,Take-Two Interactive,2016
Toy Story Mania!,Wii,Misc,Disney Interactive Studios,2009
WCW Nitro,PS,Fighting,THQ,1998
High School Musical: Sing It!,PS2,Misc,Disney Interactive Studios,2007
Star Fox Adventures,GC,Adventure,Nintendo,2002
FIFA 2000,PS,Sports,Electronic Arts,1998
Madden NFL 25,PS3,Sports,Electronic Arts,2013
Dynasty Warriors 3,PS2,Action,THQ,2001
The Legend of Zelda: Oracle of Seasons,GB,Adventure,Nintendo,2001
Ratchet & Clank Future: A Crack in Time,PS3,Platform,Sony Computer Entertainment,2009
Madden NFL 06,XB,Sports,Electronic Arts,2005
Shrek 2,PS2,Platform,Activision,2004
Turok 2: Seeds of Evil,N64,Platform,Acclaim Entertainment,1997
The Legend of Dragoon,PS,Role-Playing,Sony Computer Entertainment,1999
SingStar,PS2,Misc,Sony Computer Entertainment,2004
Star Wars: The Force Unleashed,Wii,Action,LucasArts,2008
NBA Live 2002,PS2,Sports,Electronic Arts,2001
Just Cause 3,PS4,Action,Square Enix,2015
Chrono Cross,PS,Role-Playing,SquareSoft,1999
Jak 3,PS2,Platform,Sony Computer Entertainment,2004
Kingdom Hearts: Chain of Memories,GBA,Role-Playing,Square Enix,2004
Pinball,NES,Action,Nintendo,1984
Max Payne 3,PS3,Shooter,Take-Two Interactive,2012
Gran Turismo Concept 2001 Tokyo,PS2,Racing,Unknown,2001
LEGO Marvel Super Heroes,PS3,Action,Warner Bros. Interactive Entertainment,2013
Phineas and Ferb,DS,Action,Disney Interactive Studios,2009
NCAA Football 06,PS2,Sports,Electronic Arts,2005
"Hey You, Pikachu!",N64,Simulation,Nintendo,1998
Rayman Raving Rabbids 2,Wii,Misc,Ubisoft,2007
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,Misc,THQ,2005
Jet Moto,PS,Racing,Sony Computer Entertainment,1996
Kirby: Triple Deluxe,3DS,Platform,Nintendo,2014
Secret of Mana,SNES,Role-Playing,SquareSoft,1993
GoldenEye 007 (2010),Wii,Action,Activision,2010
Sonic Classic Collection,DS,Platform,Sega,2010
Air Combat,PS,Simulation,Sony Computer Entertainment,1995
Diablo III,PS4,Role-Playing,Activision,2014
inFAMOUS 2,PS3,Action,Sony Computer Entertainment,2011
World of Warcraft: Mists of Pandaria,PC,Role-Playing,Activision,2012
Sonic & Knuckles,GEN,Platform,Sega,1994
Namco Museum,PS2,Misc,Namco Bandai Games,2001
The Sims: Hot Date,PC,Simulation,Electronic Arts,2001
Demon's Souls,PS3,Role-Playing,Namco Bandai Games,2009
The Orange Box,X360,Shooter,Electronic Arts,2007
DDRMAX2: Dance Dance Revolution,PS2,Simulation,Konami Digital Entertainment,2003
Crazy Taxi,DC,Racing,Sega,2000
Virtua Fighter 4,PS2,Fighting,Sega,2002
Mafia III,PS4,Action,Take-Two Interactive,2016
Sly 2: Band of Thieves,PS2,Platform,Sony Computer Entertainment,2004
Guitar Hero: World Tour,PS2,Misc,Activision,2008
Sonic Advance 2,GBA,Platform,Sega,2002
Madden NFL 07,X360,Sports,Electronic Arts,2006
NFL GameDay 2000,PS,Sports,989 Studios,1999
NBA 2K11,PS3,Action,Take-Two Interactive,2010
Forza Motorsport 6,XOne,Racing,Microsoft Game Studios,2015
The Evil Within,PS4,Action,Bethesda Softworks,2014
Metroid Prime 3: Corruption,Wii,Shooter,Nintendo,2007
The Legend of Zelda: The Wind Waker,WiiU,Action,Nintendo,2013
Disney's The Lion King,SNES,Platform,Virgin Interactive,1994
Professor Layton and the Mask of Miracle,3DS,Puzzle,Nintendo,2011
Midnight Club II,PS2,Racing,Take-Two Interactive,2003
SpongeBob SquarePants: SuperSponge,PS,Action,THQ,2001
The Getaway: Black Monday,PS2,Action,Sony Computer Entertainment,2004
50 Cent: Bulletproof,PS2,Action,Vivendi Games,2005
Final Fantasy II,SNES,Role-Playing,Square,1991
Kirby 64: The Crystal Shards,N64,Platform,Nintendo,2000
Dead or Alive 3,XB,Fighting,Microsoft Game Studios,2001
Dragon Quest Monsters: Joker,DS,Role-Playing,Square Enix,2006
LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,2011
High School Musical: Sing It!,Wii,Misc,Disney Interactive Studios,2007
Metroid II: Return of Samus,GB,Adventure,Nintendo,1991
WWF Attitude,PS,Fighting,Acclaim Entertainment,1998
UFC 2009 Undisputed,PS3,Fighting,THQ,2009
The SpongeBob SquarePants Movie,PS2,Platform,THQ,2004
Golden Sun,GBA,Role-Playing,Nintendo,2001
Sonic the Hedgehog 3,GEN,Platform,Sega,1994
Kid Icarus,NES,Platform,Nintendo,1986
Def Jam: Fight for NY,PS2,Fighting,Electronic Arts,2004
